ID,CT0,GAP0,R
64,-0.4658119658119658,-320.0,1
65,0.5594059405940595,1170.0,-1
66,0.7789473684210526,90.0,1
67,-0.481651376146789,775.0,-1
68,0.7681940700808625,1725.0,1
69,-0.3439716312056738,245.0,1
70,-0.0380952380952381,550.0,-1
71,-0.0783132530120482,670.0,1
72,-0.65625,685.0,-1
73,0.2592592592592592,-365.0,-1
74,0.2828947368421053,-615.0,-1
75,0.05128205128205128,-175.0,1
76,-0.86328125,330.0,-1
77,0.7868852459016393,-265.0,-1
78,0.9857954545454546,-620.0,1
79,0.3864734299516908,-115.0,1
80,-0.6569037656903766,250.0,1
81,-0.5699481865284974,-580.0,1
82,-0.75,-450.0,-1
83,0.7393364928909952,145.0,1
84,-0.5454545454545454,-155.0,-1
85,-0.01357466063348416,100.0,1
86,-0.340122199592668,430.0,-1
87,0.9952038369304557,-155.0,1
88,-0.5316455696202531,660.0,1
89,-0.05901639344262295,-390.0,1
90,-0.7070217917675545,415.0,-1
91,0.004464285714285714,265.0,1
92,-0.6873156342182891,-300.0,-1
93,-0.1451612903225807,-220.0,-1
94,-0.196319018404908,260.0,1
95,-0.528,-820.0,-1
96,0.06862745098039216,330.0,1
97,0.08379888268156424,305.0,-1
98,-0.2191780821917808,140.0,1
99,-0.5074626865671642,95.0,1
100,-0.7767857142857143,85.0,-1
101,-0.6067961165048543,-110.0,-1
102,0.5454545454545454,-55.0,-1
103,0.8627450980392157,-145.0,-1
104,0.8044692737430168,305.0,1
105,-0.6275510204081632,120.0,-1
106,0.2823529411764706,85.0,-1
107,0.6942148760330579,-340.0,1
108,-0.271523178807947,-590.0,1
109,-0.925,-265.0,-1
110,0.6355140186915887,-480.0,1
111,-0.4132947976878613,1315.0,-1
112,-0.03816793893129771,-350.0,-1
113,0.7491749174917491,-35.0,1
114,0.06395348837209303,975.0,-1
115,-0.2542372881355932,-5.0,-1
116,0.3696498054474708,230.0,1
117,-0.8816793893129771,825.0,-1
118,0.7579250720461095,-2965.0,-1
119,0.3935018050541516,-255.0,1
120,-0.3949579831932773,865.0,1
121,0.3507462686567164,485.0,-1
122,0.74,-160.0,-1
123,0.2488888888888889,205.0,-1
124,0.6748768472906403,285.0,1
125,0.1379310344827586,-615.0,1
126,-0.3291139240506329,-425.0,1
127,0.5298507462686567,65.0,-1
128,-0.1944444444444444,465.0,-1
129,0.7292817679558011,95.0,-1
130,0.689873417721519,600.0,1
131,-0.4074074074074074,75.0,-1
132,0.495049504950495,610.0,-1
133,-0.1893939393939394,-85.0,-1
134,0.09821428571428571,135.0,-1
135,0.948220064724919,-450.0,-1
136,0.7,-70.0,1
137,-0.4036144578313253,-60.0,-1
138,0.4256756756756757,-25.0,-1
139,0.2043795620437956,-80.0,1
140,0.02515723270440252,200.0,-1
141,-0.448,190.0,1
142,-0.4172661870503597,-300.0,1
143,0.3314285714285714,-240.0,-1
144,0.7489539748953975,-285.0,1
145,-0.4976076555023923,-175.0,1
146,-0.2807692307692308,-150.0,-1
147,0.7695035460992907,120.0,-1
148,0.2690355329949238,70.0,1
149,-0.0958904109589041,115.0,-1
150,-0.09322033898305085,90.0,1
151,-0.1111111111111111,10.0,1
152,-0.8249027237354085,185.0,-1
153,0.9778481012658228,-135.0,-1
154,-0.3525641025641026,120.0,-1
155,0.6801801801801802,-175.0,1
156,-0.4552845528455284,960.0,1
157,0.7046979865771812,-325.0,-1
158,-0.1328125,-370.0,-1
159,0.6394557823129252,-425.0,1
160,-0.791970802919708,350.0,-1
161,-0.3736263736263736,-120.0,-1
162,0.2124352331606218,-400.0,1
163,0.2846715328467153,25.0,-1
164,0.02950819672131148,-85.0,-1
165,0.6604477611940298,-60.0,1
166,-0.03597122302158273,135.0,1
167,-0.9054054054054054,335.0,-1
168,0.5031055900621118,155.0,-1
169,0.7652439024390244,-5.0,1
170,-0.009009009009009009,100.0,1
171,0.3316326530612245,-275.0,-1
172,0.310077519379845,-200.0,1
173,-0.9771309771309772,-380.0,-1
174,0.9027777777777778,-370.0,1
175,-0.7409470752089137,345.0,-1
176,-0.223021582733813,290.0,-1
177,0.3861386138613861,-485.0,1
178,-0.1160220994475138,460.0,1
179,-0.284263959390863,285.0,1
180,-0.3246753246753247,465.0,1
181,0.3234200743494424,165.0,-1
182,0.3922651933701657,-100.0,1
183,-0.3563218390804598,-500.0,1
184,-0.3804347826086957,75.0,1
185,0.3127753303964758,175.0,-1
186,0.6708860759493671,-25.0,1
187,-0.8762541806020067,80.0,1
188,0.06535947712418301,235.0,-1
189,0.6078431372549019,0.0,1
190,-0.04,190.0,-1
191,0.4626168224299065,-145.0,-1
192,0.6627218934911243,-150.0,-1
193,0.8,170.0,-1
194,0.831858407079646,-120.0,1
195,-0.8833333333333333,795.0,-1
196,0.5,310.0,-1
197,0.7028985507246377,-225.0,-1
198,0.9637096774193549,45.0,-1
199,0.6285714285714286,-100.0,1
200,-0.2666666666666667,-320.0,-1
201,0.5212355212355212,-295.0,-1
202,0.4128440366972477,410.0,1
203,-0.456140350877193,-130.0,1
204,-0.186046511627907,-435.0,-1
205,0.6256684491978609,-180.0,-1
206,0.3567567567567568,-75.0,-1
207,0.2067307692307692,-45.0,-1
208,0.9430379746835443,220.0,1
209,-0.8495934959349594,-470.0,-1
210,-0.5526315789473685,0.0,-1
211,-0.1174242424242424,1230.0,-1
212,0.8990825688073395,-235.0,1
213,0.06711409395973154,-1990.0,-1
214,0.3168654173764907,410.0,1
215,-0.6836601307189543,-420.0,-1
216,-0.474036850921273,20.0,-1
217,0.3023255813953488,700.0,1
218,0.2619718309859155,40.0,1
219,-0.6724137931034483,-390.0,-1
220,0.5656565656565656,350.0,-1
221,0.8704663212435233,715.0,-1
222,0.2591093117408907,-155.0,1
223,-0.02450980392156863,-45.0,1
224,-0.72,-735.0,-1
225,0.7407407407407407,-395.0,1
226,0.9753424657534246,-425.0,1
227,-0.9211267605633803,735.0,-1
228,0.203125,-280.0,1
229,-0.8196428571428571,-175.0,1
230,0.3983228511530398,485.0,1
231,-0.8583333333333333,-665.0,-1
232,0.8240165631469979,405.0,1
233,-0.055,320.0,1
234,-0.7272727272727273,60.0,1
235,-0.16,-605.0,1
236,-0.6636771300448431,435.0,-1
237,-0.2113821138211382,670.0,1
238,-0.6837060702875399,70.0,-1
239,0.4931506849315068,0.0,-1
240,-0.175609756097561,-60.0,1
241,-0.8099688473520249,130.0,1
242,0.4397905759162304,-150.0,1
243,0.0449438202247191,-90.0,1
244,-0.2541436464088398,-120.0,-1
245,0.9541284403669725,-90.0,-1
246,0.85625,0.0,1
247,-0.1455696202531646,135.0,-1
248,0.8806584362139918,-85.0,1
249,0.2752293577981652,-150.0,-1
250,-0.8905109489051095,520.0,-1
251,0.9292682926829269,-115.0,1
252,-0.09722222222222222,-35.0,-1
253,0.1976744186046512,25.0,1
254,-0.2184873949579832,-150.0,-1
255,0.1005586592178771,160.0,1
256,0.7540983606557377,190.0,1
257,-0.1459227467811159,1220.0,1
258,0.3608247422680412,-90.0,1
259,-0.2530120481927711,-275.0,1
260,0.4676258992805755,-250.0,-1
261,0.515625,-50.0,1
262,-0.4217687074829932,-120.0,1
263,0.3641025641025641,-135.0,-1
264,0.65,-5.0,-1
265,0.9822695035460993,-50.0,-1
266,-0.1048387096774194,750.0,1
267,-0.7578125,15.0,1
268,-0.2972972972972973,-290.0,1
269,-0.8907103825136612,105.0,-1
270,0.3825503355704698,210.0,1
271,-0.02010050251256281,-170.0,-1
272,-0.1386138613861386,-290.0,-1
273,0.673728813559322,-95.0,1
274,-0.6956521739130435,215.0,1
275,-0.2135416666666667,280.0,1
276,0.4684014869888476,40.0,1
277,-0.2894736842105263,390.0,-1
278,0.7136929460580913,100.0,-1
279,0.7167630057803468,80.0,1
280,-0.2076502732240437,1390.0,-1
281,0.8066037735849056,-245.0,-1
282,0.01796407185628742,-325.0,-1
283,0.1866666666666667,460.0,-1
284,0.7092198581560284,220.0,1
285,0.5689655172413793,-330.0,1
286,-0.3643410852713178,255.0,1
287,-0.6609442060085837,-335.0,-1
288,-0.5886524822695035,-315.0,1
289,-0.667910447761194,100.0,-1
290,0.652,-355.0,1
291,-0.02469135802469136,-135.0,1
292,-0.6428571428571429,0.0,1
293,-0.7318840579710145,-205.0,-1
294,0.03225806451612903,385.0,-1
295,-0.16,445.0,-1
296,0.4452554744525548,-305.0,1
297,-0.4147727272727273,440.0,1
298,0.5364583333333334,250.0,1
299,-0.7416666666666667,200.0,1
300,-0.7937649880095923,-60.0,-1
301,0.3213114754098361,200.0,1
302,-0.9242105263157895,-310.0,-1
303,0.5921052631578947,10.0,-1
304,0.08368200836820083,-140.0,-1
305,0.702247191011236,-735.0,-1
306,0.7643097643097643,0.0,-1
307,-0.07865168539325842,75.0,-1
308,0.8966789667896679,-320.0,1
309,-0.0880503144654088,-330.0,-1
310,-0.1739130434782609,250.0,-1
311,0.2734375,-265.0,-1
312,0.7383720930232558,320.0,1
313,-0.8785310734463276,155.0,1
314,-0.4262295081967213,-150.0,-1
315,0.3800738007380074,-125.0,1
316,0.02040816326530612,-40.0,1
317,0.0759493670886076,535.0,1
318,-0.4154929577464789,-165.0,-1
319,-0.7358490566037735,255.0,-1
320,0.9463722397476341,-555.0,-1
321,0.08247422680412371,200.0,1
322,-0.7132867132867133,420.0,1
323,-0.02395209580838323,875.0,1
324,-0.1491228070175439,80.0,-1
325,0.3422053231939163,-195.0,-1
326,-0.1235294117647059,240.0,1
327,-0.3464912280701755,270.0,-1
328,0.4677419354838709,300.0,-1
329,0.8397212543554007,-295.0,1
330,-0.8045977011494253,40.0,1
331,-0.9787985865724381,60.0,-1
332,0.7147887323943662,-240.0,-1
333,0.2208588957055215,160.0,-1
334,0.4578313253012048,375.0,-1
335,0.7644230769230769,-105.0,-1
336,0.1693548387096774,60.0,1
337,0.4972677595628415,355.0,1
338,0.3157894736842105,110.0,1
339,0.1464968152866242,-365.0,1
340,-0.7073170731707317,-6805.0,1
341,0.05276595744680851,1810.0,-1
342,-0.1142857142857143,-570.0,-1
343,-0.1685714285714286,-215.0,-1
344,0.6884272997032641,-270.0,1
345,0.5393939393939394,-170.0,-1
346,0.05813953488372093,-235.0,-1
347,0.8095238095238095,-200.0,-1
348,-0.1160714285714286,-155.0,-1
349,0.2238805970149254,-270.0,1
350,-0.7173144876325088,85.0,1
351,-0.4085106382978723,235.0,1
352,-0.3161290322580645,-10.0,-1
353,0.1611111111111111,-380.0,-1
354,0.7032520325203252,50.0,1
355,0.1518987341772152,80.0,1
356,-0.5990990990990991,285.0,1
357,-0.7523809523809524,-70.0,1
358,-0.3839662447257384,295.0,-1
359,-0.3174603174603174,1105.0,1
360,-0.05092592592592592,-130.0,-1
361,-0.02479338842975207,135.0,-1
362,0.3602941176470588,-225.0,1
363,-0.9966996699669967,260.0,1
364,0.1258741258741259,55.0,-1
365,0.6611570247933884,-115.0,1
366,-0.1473684210526316,225.0,-1
367,0.9845559845559846,-445.0,1
368,-0.6065573770491803,50.0,1
369,0.3873239436619718,435.0,1
370,-0.1145833333333333,250.0,-1
