ID,CT,GAP,R
181,-0.1568627450980392,-345.0,-1
182,0.52,120.0,1
183,-0.6752136752136753,-395.0,1
184,0.8,205.0,-1
185,0.1395348837209302,190.0,1
186,-0.04184100418410042,-55.0,1
187,-0.6902173913043478,115.0,1
188,-0.8138686131386861,-910.0,1
189,-0.9145833333333333,110.0,1
190,0.0743801652892562,290.0,1
191,0.6764705882352942,-310.0,1
192,-0.6810933940774487,165.0,-1
193,-0.2701949860724234,975.0,1
194,0.410958904109589,25.0,-1
195,0.7894736842105263,690.0,-1
196,0.1295774647887324,85.0,-1
197,0.9372384937238494,-225.0,-1
198,-0.4439252336448598,1025.0,1
199,0.5308641975308642,200.0,1
200,-0.3319148936170213,75.0,1
201,-0.5666666666666667,440.0,-1
202,0.8193548387096774,-245.0,-1
203,0.580441640378549,230.0,-1
204,0.5284552845528455,320.0,1
205,-0.5037037037037037,235.0,-1
206,0.1506276150627615,90.0,-1
207,0.1957446808510638,-20.0,1
208,-0.1807228915662651,-355.0,1
209,0.4639175257731959,-620.0,1
210,-0.5983379501385041,875.0,-1
211,0.8152610441767069,435.0,-1
212,-0.3712871287128713,240.0,1
213,-0.3495575221238938,235.0,-1
214,-0.1547388781431335,535.0,-1
215,0.3951612903225806,-840.0,1
216,-0.6701030927835051,-640.0,-1
217,0.7456647398843931,-430.0,1
218,-0.8417721518987342,-495.0,-1
219,-0.006097560975609756,-25.0,-1
220,0.2361111111111111,1185.0,1
221,-0.7807807807807807,630.0,1
222,-0.5662650602409639,50.0,-1
223,0.9626373626373627,-110.0,-1
224,0.6677966101694915,130.0,1
225,-0.6485148514851485,-380.0,1
226,-0.4005305039787798,-30.0,1
227,0.05882352941176471,-330.0,-1
228,0.6317829457364341,15.0,1
229,0.1220657276995305,425.0,-1
230,0.5093632958801498,455.0,1
231,0.1185185185185185,320.0,-1
232,0.5916666666666667,-105.0,-1
233,0.0502092050209205,320.0,-1
234,0.2303030303030303,230.0,1
235,0.3409090909090909,-315.0,1
236,-0.02325581395348837,310.0,1
237,0.08029197080291971,580.0,-1
238,0.6419753086419753,475.0,1
239,0.2018348623853211,430.0,1
240,-0.5694444444444444,165.0,-1
241,0.1551724137931035,710.0,-1
242,0.818639798488665,-355.0,-1
243,0.65814696485623,40.0,1
244,0.1333333333333333,-50.0,-1
245,0.4696132596685083,95.0,-1
246,0.6627218934911243,725.0,1
247,-0.4577114427860697,355.0,1
